race,2002_avg_default,2003_avg_default,2004_avg_default,2005_avg_default,2006_avg_default,2007_avg_default,2008_avg_default,2009_avg_default,2010_avg_default,2011_avg_default,2012_avg_default,2013_avg_default,2014_avg_default,2015_avg_default,2016_avg_default,2017_avg_default,2018_avg_default,2019_avg_default,2020_avg_default,Trial
WHITE ALONE,0,0,0.33333333333333337,0.25,0.19999999999999996,0.16666666666666663,0.1428571428571429,0.125,0.11111111111111116,0.09999999999999998,0.09090909090909094,0.08333333333333337,0.07692307692307687,0.0714285714285714,0.06666666666666665,0.0625,0.05882352941176472,0.05555555555555558,0.052631578947368474,0
WHITE ALONE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WHITE ALONE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BLACK ALONE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WHITE ALONE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WHITE ALONE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WHITE ALONE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WHITE ALONE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WHITE ALONE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WHITE ALONE,0,0,0.0,0.25,0.19999999999999996,0.16666666666666663,0.1428571428571429,0.125,0.11111111111111116,0.09999999999999998,0.09090909090909094,0.08333333333333337,0.07692307692307687,0.0714285714285714,0.06666666666666665,0.0625,0.05882352941176472,0.05882352941176472,0.05555555555555558,0
WHITE ALONE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WHITE ALONE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WHITE ALONE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WHITE ALONE,0,0,0.0,0.0,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.16666666666666663,0.1428571428571429,0.125,0.11111111111111116,0.09999999999999998,0.09090909090909094,0.08333333333333337,0.07692307692307687,0.0714285714285714,0.06666666666666665,0.0625,0.05882352941176472,0
WHITE ALONE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WHITE ALONE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WHITE ALONE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WHITE ALONE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WHITE ALONE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WHITE ALONE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WHITE ALONE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WHITE ALONE,0,0,0.0,0.0,0.19999999999999996,0.16666666666666663,0.1428571428571429,0.125,0.11111111111111116,0.11111111111111116,0.09999999999999998,0.09090909090909094,0.08333333333333337,0.07692307692307687,0.0714285714285714,0.06666666666666665,0.0625,0.05882352941176472,0.05555555555555558,0
WHITE ALONE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WHITE ALONE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BLACK ALONE,0,1,0.33333333333333337,0.25,0.25,0.19999999999999996,0.19999999999999996,0.16666666666666663,0.16666666666666663,0.1428571428571429,0.125,0.11111111111111116,0.09999999999999998,0.09090909090909094,0.08333333333333337,0.07692307692307687,0.07692307692307687,0.0714285714285714,0.06666666666666665,0
BLACK ALONE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WHITE ALONE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WHITE ALONE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WHITE ALONE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WHITE ALONE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BLACK ALONE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WHITE ALONE,0,0,0.0,0.25,0.19999999999999996,0.16666666666666663,0.1428571428571429,0.125,0.11111111111111116,0.09999999999999998,0.09090909090909094,0.08333333333333337,0.07692307692307687,0.0714285714285714,0.06666666666666665,0.0625,0.05882352941176472,0.05555555555555558,0.052631578947368474,0
WHITE ALONE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WHITE ALONE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WHITE ALONE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WHITE ALONE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WHITE ALONE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WHITE ALONE,0,1,0.33333333333333337,0.25,0.19999999999999996,0.16666666666666663,0.1428571428571429,0.125,0.11111111111111116,0.09999999999999998,0.09090909090909094,0.09090909090909094,0.08333333333333337,0.08333333333333337,0.07692307692307687,0.0714285714285714,0.0714285714285714,0.06666666666666665,0.0625,0
WHITE ALONE,0,1,0.33333333333333337,0.25,0.19999999999999996,0.16666666666666663,0.1428571428571429,0.125,0.125,0.11111111111111116,0.09999999999999998,0.09090909090909094,0.08333333333333337,0.07692307692307687,0.0714285714285714,0.06666666666666665,0.0625,0.05882352941176472,0.05555555555555558,0
WHITE ALONE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WHITE ALONE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WHITE ALONE,0,0,0.33333333333333337,0.25,0.19999999999999996,0.16666666666666663,0.1428571428571429,0.125,0.11111111111111116,0.09999999999999998,0.09090909090909094,0.08333333333333337,0.07692307692307687,0.0714285714285714,0.06666666666666665,0.0625,0.0625,0.05882352941176472,0.05555555555555558,0
WHITE ALONE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WHITE ALONE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WHITE ALONE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WHITE ALONE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WHITE ALONE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WHITE ALONE,1,0,0.33333333333333337,0.25,0.19999999999999996,0.16666666666666663,0.1428571428571429,0.125,0.11111111111111116,0.09999999999999998,0.09090909090909094,0.08333333333333337,0.07692307692307687,0.0714285714285714,0.06666666666666665,0.0625,0.05882352941176472,0.05555555555555558,0.052631578947368474,0
WHITE ALONE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WHITE ALONE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WHITE ALONE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WHITE ALONE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WHITE ALONE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0714285714285714,0.06666666666666665,0.0625,0.05882352941176472,0.05882352941176472,0.05555555555555558,0
WHITE ALONE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WHITE ALONE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WHITE ALONE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WHITE ALONE,0,1,0.33333333333333337,0.25,0.25,0.19999999999999996,0.16666666666666663,0.1428571428571429,0.125,0.11111111111111116,0.09999999999999998,0.09999999999999998,0.09090909090909094,0.08333333333333337,0.07692307692307687,0.0714285714285714,0.06666666666666665,0.0625,0.05882352941176472,0
WHITE ALONE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BLACK ALONE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ASIAN ALONE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WHITE ALONE,0,0,0.0,0.0,0.0,0.16666666666666663,0.1428571428571429,0.125,0.11111111111111116,0.09999999999999998,0.09090909090909094,0.08333333333333337,0.07692307692307687,0.0714285714285714,0.06666666666666665,0.0625,0.05882352941176472,0.05555555555555558,0.052631578947368474,0
WHITE ALONE,0,0,0.0,0.25,0.19999999999999996,0.16666666666666663,0.1428571428571429,0.125,0.11111111111111116,0.09999999999999998,0.09090909090909094,0.08333333333333337,0.08333333333333337,0.07692307692307687,0.0714285714285714,0.06666666666666665,0.0625,0.05882352941176472,0.05555555555555558,0
WHITE ALONE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WHITE ALONE,0,0,0.33333333333333337,0.25,0.19999999999999996,0.16666666666666663,0.1428571428571429,0.125,0.11111111111111116,0.09999999999999998,0.09090909090909094,0.08333333333333337,0.07692307692307687,0.0714285714285714,0.06666666666666665,0.0625,0.05882352941176472,0.05555555555555558,0.052631578947368474,0
WHITE ALONE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WHITE ALONE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WHITE ALONE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WHITE ALONE,0,1,0.33333333333333337,0.25,0.19999999999999996,0.16666666666666663,0.1428571428571429,0.125,0.11111111111111116,0.09999999999999998,0.09999999999999998,0.09090909090909094,0.08333333333333337,0.07692307692307687,0.0714285714285714,0.06666666666666665,0.0625,0.05882352941176472,0.05555555555555558,0
WHITE ALONE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WHITE ALONE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WHITE ALONE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WHITE ALONE,1,0,0.33333333333333337,0.25,0.19999999999999996,0.16666666666666663,0.1428571428571429,0.125,0.11111111111111116,0.09999999999999998,0.09090909090909094,0.08333333333333337,0.07692307692307687,0.0714285714285714,0.06666666666666665,0.0625,0.0625,0.05882352941176472,0.05555555555555558,0
WHITE ALONE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WHITE ALONE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WHITE ALONE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WHITE ALONE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WHITE ALONE,0,1,0.33333333333333337,0.25,0.19999999999999996,0.33333333333333337,0.2857142857142857,0.25,0.2222222222222222,0.19999999999999996,0.18181818181818177,0.16666666666666663,0.15384615384615385,0.1428571428571429,0.1333333333333333,0.125,0.11764705882352944,0.11111111111111116,0.10526315789473684,0
WHITE ALONE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WHITE ALONE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WHITE ALONE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WHITE ALONE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WHITE ALONE,0,0,0.0,0.0,0.19999999999999996,0.16666666666666663,0.1428571428571429,0.125,0.11111111111111116,0.11111111111111116,0.09999999999999998,0.09090909090909094,0.08333333333333337,0.07692307692307687,0.0714285714285714,0.06666666666666665,0.0625,0.05882352941176472,0.05555555555555558,0
BLACK ALONE,0,0,0.0,0.25,0.19999999999999996,0.16666666666666663,0.1428571428571429,0.125,0.11111111111111116,0.09999999999999998,0.09090909090909094,0.08333333333333337,0.08333333333333337,0.07692307692307687,0.0714285714285714,0.06666666666666665,0.0625,0.05882352941176472,0.05882352941176472,0
WHITE ALONE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WHITE ALONE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WHITE ALONE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WHITE ALONE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ASIAN ALONE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WHITE ALONE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WHITE ALONE,0,1,0.33333333333333337,0.25,0.19999999999999996,0.16666666666666663,0.1428571428571429,0.125,0.11111111111111116,0.09999999999999998,0.09090909090909094,0.08333333333333337,0.07692307692307687,0.07692307692307687,0.0714285714285714,0.06666666666666665,0.0625,0.05882352941176472,0.05882352941176472,0
WHITE ALONE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WHITE ALONE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WHITE ALONE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WHITE ALONE,0,0,0.0,0.25,0.19999999999999996,0.16666666666666663,0.1428571428571429,0.125,0.11111111111111116,0.09999999999999998,0.09090909090909094,0.08333333333333337,0.07692307692307687,0.0714285714285714,0.06666666666666665,0.0625,0.05882352941176472,0.05555555555555558,0.052631578947368474,0
BLACK ALONE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WHITE ALONE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WHITE ALONE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WHITE ALONE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WHITE ALONE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
